report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
1956,"Mohamed Thaqep street  ,Zamalek ,Cairo",10/23/2015 23:30,"Mohamed Thaqep street  ,Zamalek ,Cairo",Cairo,Cairo,"Mohamed Thaqep street, Zamalek","A group of 5-6 teenage boys (14-16) on bycicles verbally harassed me first and then started circling around me with her bikes to grope my breasts and my behind. I screamed at them to let me go and told them that their behaviour is wrong. They left, came back and did it again. A bit further up the street at the church a man came walking toward us and they left. I was then waiting at the Chinese embassy security point for a friend to pick me up. I did see them again the weekend after on their bikes hanging out at the kiosks in Ismail Mohamed street",Mob sexual assault/rape,"30,065838,31,218846",Harassed person,Woman,,30-34,Under 18,No,Street,,University/more than university,11/10/2015 11:01
1954,كفر الشيخ، مصر,11/07/2015 12:15,كفر الشيخ، مصر,كفر الشيخ,كفر الشيخ,,"كنت ف القطر...وبعدين شوية عيال ف أولى ثانوى...ركبوا معايا....وقعدوا ف الكراسى اللى حوايا...وقعدوا يعاكسونى بكلام مش مباشر...لحد مجم ينزلوا ف محطتهم...فراح واحد مادد ايده ومسك صدرى...ووراه واحد بيحميه...رحت أنا شتمت بس...ممسكتش حد...وكان ف رجالة كتير...محدش اصلا اتكلم...وراح الولد المتحرش...راح الرصيف التانى...وقعد يشتمنى...رحت تانى القطر عشان امسكهم...امناء الشرطة مسكوهم...أمين فيهم قرب منى بطريقة مستفزة وكانه بيقوللى كلام مش عايز حد تانى يسمعه....ولمس صدرى كذا مرة...كانه بالغلط....وانا مرضتش اخد موقف ...كنت خايفة...وحسيت بالندم انى لجأت لأوساخ زى دول عشان يحمونى...وانا خارجة عشان اروح لامين تاتى...جه الامين المتحرش دا...وقاللى ""لما تيجى القطر البسى لبس واسع شوية""...فأنا من كتر خوفى من رد فعله اذا عارضته ورديت عليه فقلت ""مانا لبسى واسع اهو""...راح قاللى"" دا لبس واسع...دا انا عن نفسى سخنت""....انا عملت نفسى مسمعتش حاجة...وبقيت خايفة اقابل الظابط نفسه...وكنت عايزة امشى...الامين التانى كان لحد ما كويس...بس قاللى بلاش محضر مش هتضرى غير نفسك....وودانى للظابط...الظابط قمة الاستفزاز...لما حكيتله...يقوللى ""وهما هيعملوا كدا من غير سبب!!""...فقلتله اسألهم هما عن الاسباب بتسألنى أنا ليه؟!!...فراح مزعقللى جامد وقاللى ""انا مش بقولك ان انتى بتتبللى عليهم...بس اكيد ف اسباب...زى مثلا عارفينك""....فقلتلله انا معرفش...وقاللى"" مضربتهوش ليه لما عمل كدا""...قلتله طلع يجرى...معرفتش اتصرف...المهم دخل الولد....وكله قعد يضحك على شكله....لانه قصير وشكله صغير....راح الظابط يقوله ""دا انت لسه هرمونات الذكورة مبانتش عليك ...ولما تعاكس عاكس واحدة ف سنك ..دى بتبصلها ليه؟!...دا دى تشكلك واحدة تتجوزها انت...لا بس انت عندك نظر""....وكله قعد يضحك والموضوع اتقلب كوميدى...حتى الواد بعد مكان خابف ...بقه بيضحك....وصمم انه اسأله سؤال ف الانجليزى بما انى مدرسة انجليزى...واشتركت معاهم ف المسخرة دى بسؤالى للولد....والموضوع بقه قمة الاسفاف...كانى داخلة اهرج...مش ادى لمتحرش درس....طلعت من الموضوع كله ...بتحرش زيادة...وظابط مستفز قاعد يهرج وينكت ومستهتر بيا وبالموضوع!!""....انا لو ف ايدى اسيب البلد دى هسيبها من النهردا...لانه والله مافيه أمل...لما اللى بيحمونا بيتحرشوا بينا...البنات تروح تشتكى لمين!!...","Comments,Touching,Mob sexual harassment","31,098491,30,950231",Harassed person,Woman,,25-29,Under 18,No,Public transportation,Secondary,University/more than university,11/07/2015 15:16
1953,"شارع الملك العزيز ال شعود ,المنيل ,الجيزة",11/04/2015 1:33,"شارع الملك العزيز ال شعود ,المنيل ,الجيزة",الجيزة,الجيزة,"شارع الملك العزيز ال شعود ,المنيل ",كنت في مستشفي في شارع العزيز ال سعود بعمل عمليه شفط  للارداف مع العلم ان ديه اعاده بسيطه للعمليه لاني كنت عملاها قبل كدا وكان جزء بسيط اللي هيتعدل وكنت واخده بنج موضع مش كلي والمفروض اني اخرج مبسوطه لكن بعد العمليه وانا في الافاقه جه دكتور التخدير ومكنش في حد غيرة في المكان وبص حوليه وبعد كدا وعري جسمي ودا مش من اختصاصه اصلا وحط ايده عندي من تحت ولما سالته ايه دا انت بتعمل ايه قالي اصل بيكون في قطنه وكرر نفس الحركه طبعا انا كنت مصدومه مع ان لو دا فعلا صحيح موضوع القطنه ديه طيب في ممرضه تشلها حتي لو هو قرر الحركه مرة تانيه ليه انا تعبانه نفسيا صحيح انا كنت بعمل عمليه ومكنتش لابسه بس مش معني كدا ان حد يعتدي عليه ان سمحت للدكنور يعمل العمليه لكن حد يجي وانا بفوق يحط ايه عليه لا انا تعبانه والهي جدا  ومش مصدقه ان الموقف يجي من دكتور اللي هو المفروض عقليته متفتحه مش جاهل,"Touching,Indecent exposure","30,012834,31,224867",Harassed person,Woman,,25-29,35-39,No,Street,,University/more than university,11/06/2015 13:34
1951,"مصر الجديدة ,مصر الجديدة ,القاهرة",11/02/2015 23:00,"مصر الجديدة ,مصر الجديدة ,القاهرة",القاهرة,القاهرة,مصر الجديدة,"رقم هاتف المتحرش 
0102......",Unwanted attention,"30,112315,31,343851",Harassed person,Woman,,18-24,25-29,No,Other,,Secondary,11/03/2015 20:34
1950,"طريق النصر ,مكرم عبيد . مدينة نصر ,القاهرة",10/18/2015 8:30,"طريق النصر ,مكرم عبيد . مدينة نصر ,القاهرة",القاهرة,القاهرة,"طريق النصر ,مكرم عبيد . مدينة نصر","شاب ركب جنبي المكروباص. وبعد وقت من تحركنا من السيده عائشه بدأ يلزق رجله فرجلي بحجه ان حد نازل
وبعدها انا بعدت عنه ورجع تاني يلزق فيا ويحرك زراعه  ويقوم بالاحتكاك ب زراعي
نظرت له اكثر من مره بنظرة غضب وفي كل مره يعتذر ويبعد. ثم يعيد الكرره
وفي النهايه عندما بدا محاولة مد يده لمسك زراعي صرخت وطلبت التوجه للقسم
ولكنه اعتزر وفتح باب المكروباص بمجرد وقوفه ونزل يجري
وكان رد كل من حولي هو الصمت
والسائق قال ""معلش يا بنتي ... خدي بالك من نفسك""",Touching,"30,063483,31,312322",Harassed person,Woman,,25-29,25-29,No,Public transportation,,University/more than university,10/28/2015 22:43
1948,"in front of the Sakanat Subway Station, Road 9. Maadi.  ,Maadi ,Cairo",10/21/2015 13:08,"in front of the Sakanat Subway Station, Road 9. Maadi.  ,Maadi ,Cairo",Cairo,Cairo,"in front of the Sakanat Subway Station, Road 9. Maadi.",There are bunch of cab drivers in front of the Sakanat el Maadi Subway Station on road 9 harassing women all the time.  be careful!,"Catcalls,Mob sexual harassment","29,962696,31,276942",Witness,Man,Don't know,18-24,25-29,No,Street,Don't know,University/more than university,10/25/2015 11:01
1947,"امام مسجد القبة بجانب القصر الجمهوري   ,حدائق القبة  ,القاهرة",10/25/2015 11:00,"امام مسجد القبة بجانب القصر الجمهوري   ,حدائق القبة  ,القاهرة",القاهرة,القاهرة,"امام مسجد القبة بجانب القصر الجمهوري   ,حدائق القبة","متحرش تقريبا فوق ال 45 سنة في عربية هوندا سيفيك بيضاء  كان بيطارد السيدات في الشارع و يشتمهم بأفظع الشتايم , سيددة اربيعينة شتمتة وتفت عليه و بعدينوقفيشتم سيدة خمسينة تانية شتايم قذرة بعلوصوتة !! روحت خبطتة على العربية و حاولت أكسر لة اي حاجة في العربية شتمني و مشي بالراحة !! واضح انه محترف !!","Ogling,Comments,Stalking or following,Sexual invites,Threat","30,082099,31,276263",Witness,Man,Over 45,30-34,Over 45,Yes,Street,Don't know,University/more than university,10/25/2015 10:54
1946,"Street 10 ,Hadayek Maadi ,Maadi",12/09/2014 14:50,"Street 10 ,Hadayek Maadi ,Maadi",Cairo,Cairo,"Street 10, Hadayek Maadi","I was walking along the street and a man in a black car came from behind, drives on the wrong side of the rode, reaches out his window and grabs me between the legs and drives off while waving ""thank you"".",Touching,"29,965857,31,256528",Harassed person,Woman,,30-34,30-34,Yes,Street,,University/more than university,10/23/2015 19:17
1945,"Street 82  ,By the Maadi House ,Maadi",10/23/2015 19:11,"Street 82  ,By the Maadi House ,Maadi",Cairo,Cairo,"Street 82, By the Maadi House",A man in a small blue car or on foot (multiple times) approaches you and asks for the nearest pharmacy and then says he wants a condom.  On one occasion a second male approached from down the street while exposing himself.,"Sexual invites,Indecent exposure","29,962696,31,276942",Witness,Woman,Over 45,30-34,Don't know,No,Street,University/more than university,University/more than university,10/23/2015 19:11
1943,"منطقة المطاعم امام جامع الحسين  ,خان الخليلى  ,القاهرة",08/16/2015 22:00,"منطقة المطاعم امام جامع الحسين  ,خان الخليلى  ,القاهرة",القاهرة,القاهرة,"منطقة المطاعم امام جامع الحسين  ,خان الخليلى",ماشيه انا وصاحبتى عند جامع الحسين وواحد من الى شغالين فى الكافيهات والمطاعم الى هناك حاطط فى ودنه سماعات وعامل نفسه بيغنى وبيضيق علينا الطريق شتمته راح رادد بقلة ادب زميله قاله اسكت لما انا ابتدى صوتى يعلى,Stalking or following,"30,04442,31,235712",Harassed person,Woman,,30-34,25-29,No,Street,,University/more than university,10/15/2015 9:12
1942,"اسماعيل الفنجرى  ,حدائق القبة  ,Cairo",05/06/2014 17:38,"اسماعيل الفنجرى  ,حدائق القبة  ,Cairo",القاهرة,القاهرة,"اسماعيل الفنجرى  ,حدائق القبة",سواق اتوبيس مصر السياحه واقف على جنب فى جنب كلية فنية عسكرية فى شارع الفنجرى وبيستنى ولما مريت جنبه قالى كلام قذر تفيت عليه وكان على بعد 100 متر تقريبا واقف شرطة عسكرية لما قربت منهم لاقيته طلع بالاتوبيس وجرى,Indecent exposure,"30,072578,31,302703",Harassed person,Woman,,30-34,40-45,No,Street,,University/more than university,10/15/2015 8:43
